iteration,liveAgents,frameTime,tickTime
1,1,9.7e-05,9.33e-05
2,1,3.91e-05,3.86e-05
3,1,3.17e-05,3.14e-05
4,1,3.07e-05,3.05e-05
5,1,3.11e-05,3.09e-05
6,1,3.07e-05,3.04e-05
7,1,3.13e-05,3.1e-05
8,1,3.21e-05,3.19e-05
9,1,3.2e-05,3.17e-05
10,1,3.14e-05,3.12e-05
11,1,3.18e-05,3.17e-05
12,1,3.24e-05,3.21e-05
13,1,3.12e-05,3.1e-05
14,1,3.05e-05,3.03e-05
15,1,3.11e-05,3.08e-05
16,1,3.06e-05,3.04e-05
17,1,3.11e-05,3.09e-05
18,1,3.07e-05,3.05e-05
19,1,3.11e-05,3.09e-05
20,1,3.05e-05,3.03e-05
21,1,3.1e-05,3.08e-05
22,1,3.06e-05,3.04e-05
23,1,3.11e-05,3.09e-05
24,1,3.07e-05,3.05e-05
25,1,3.1e-05,3.08e-05
26,1,3.06e-05,3.04e-05
27,1,3.1e-05,3.08e-05
28,1,3.06e-05,3.04e-05
29,1,3.11e-05,3.09e-05
30,1,3.06e-05,3.04e-05
31,1,3.11e-05,3.09e-05
32,1,3.05e-05,3.03e-05
33,1,3.1e-05,3.07e-05
34,1,3.12e-05,3.09e-05
35,1,3.21e-05,3.19e-05
36,1,3.05e-05,3.03e-05
37,2,3.41e-05,3.39e-05
38,2,3.17e-05,3.15e-05
39,2,3.1e-05,3.07e-05
40,2,3.25e-05,3.23e-05
41,2,3.09e-05,3.07e-05
42,2,3.09e-05,3.06e-05
43,2,3.09e-05,3.07e-05
44,2,3.16e-05,3.14e-05
45,2,3.14e-05,3.12e-05
46,2,3.14e-05,3.12e-05
47,2,3.09e-05,3.07e-05
48,2,3.2e-05,3.18e-05
49,2,3.08e-05,3.06e-05
50,2,3.13e-05,3.11e-05
51,2,3.13e-05,3.1e-05
52,2,3.12e-05,3.1e-05
53,2,3.09e-05,3.07e-05
54,2,3.2e-05,3.18e-05
55,2,3.09e-05,3.07e-05
56,2,3.13e-05,3.11e-05
57,2,3.14e-05,3.11e-05
58,2,3.13e-05,3.11e-05
59,2,3.07e-05,3.05e-05
60,2,3.18e-05,3.16e-05
61,2,3.08e-05,3.06e-05
62,2,3.14e-05,3.1e-05
63,2,3.12e-05,3.1e-05
64,2,3.13e-05,3.11e-05
65,2,3.07e-05,3.05e-05
66,2,3.18e-05,3.16e-05
67,2,3.07e-05,3.05e-05
68,2,3.13e-05,3.11e-05
69,2,3.15e-05,3.13e-05
70,2,3.14e-05,3.12e-05
71,2,3.1e-05,3.08e-05
72,2,3.19e-05,3.17e-05
73,2,3.17e-05,3.15e-05
74,3,3.18e-05,3.15e-05
75,4,3.21e-05,3.18e-05
76,4,3.2e-05,3.18e-05
77,4,3.38e-05,3.35e-05
78,4,3.22e-05,3.2e-05
79,4,3.14e-05,3.12e-05
80,4,3.13e-05,3.11e-05
81,4,3.32e-05,3.3e-05
82,4,3.26e-05,3.24e-05
83,4,3.14e-05,3.12e-05
84,4,3.31e-05,3.29e-05
85,4,3.14e-05,3.12e-05
86,4,3.25e-05,3.23e-05
87,4,3.25e-05,3.22e-05
88,4,3.19e-05,3.17e-05
89,4,3.21e-05,3.19e-05
90,4,3.29e-05,3.27e-05
91,4,3.15e-05,3.12e-05
92,4,3.23e-05,3.21e-05
93,4,3.25e-05,3.22e-05
94,4,3.21e-05,3.19e-05
95,4,3.2e-05,3.18e-05
96,4,3.31e-05,3.28e-05
97,4,3.14e-05,3.12e-05
98,4,3.25e-05,3.23e-05
99,4,3.25e-05,3.23e-05
100,4,0.0002527,0.0002511
101,3,5.76e-05,5.61e-05
102,3,3.65e-05,3.61e-05
103,3,3.29e-05,3.26e-05
104,3,3.31e-05,3.29e-05
105,3,3.35e-05,3.33e-05
106,3,3.29e-05,3.27e-05
107,3,6.38e-05,6.36e-05
108,3,3.54e-05,3.5e-05
109,3,3.2e-05,3.18e-05
110,4,3.49e-05,3.47e-05
111,5,3.66e-05,3.64e-05
112,6,3.37e-05,3.36e-05
113,6,3.61e-05,3.58e-05
114,6,3.47e-05,3.44e-05
115,6,3.55e-05,3.53e-05
116,6,3.41e-05,3.39e-05
117,6,3.4e-05,3.38e-05
118,6,3.51e-05,3.49e-05
119,6,3.4e-05,3.39e-05
120,6,3.4e-05,3.38e-05
121,6,3.57e-05,3.55e-05
122,6,3.51e-05,3.49e-05
123,6,3.44e-05,3.42e-05
124,6,3.58e-05,3.56e-05
125,6,3.61e-05,3.58e-05
126,6,3.53e-05,3.51e-05
127,6,3.71e-05,3.67e-05
128,6,3.63e-05,3.62e-05
129,6,3.6e-05,3.57e-05
130,6,3.76e-05,3.73e-05
131,6,3.69e-05,3.67e-05
132,6,3.51e-05,3.48e-05
133,6,3.83e-05,3.81e-05
134,6,3.62e-05,3.59e-05
135,6,3.58e-05,3.54e-05
136,6,3.78e-05,3.75e-05
137,6,3.63e-05,3.61e-05
138,5,3.71e-05,3.7e-05
139,5,3.54e-05,3.52e-05
140,5,3.72e-05,3.68e-05
141,5,3.6e-05,3.57e-05
142,5,3.63e-05,3.6e-05
143,5,3.57e-05,3.56e-05
144,5,3.41e-05,3.38e-05
145,5,3.48e-05,3.45e-05
146,5,3.42e-05,3.41e-05
147,6,3.47e-05,3.45e-05
148,8,4.12e-05,4.08e-05
149,10,3.6e-05,3.58e-05
150,10,4.34e-05,4.32e-05
151,10,4.15e-05,4.11e-05
152,10,4.24e-05,4.23e-05
153,10,4.04e-05,4.02e-05
154,10,4.15e-05,4.13e-05
155,10,4.3e-05,4.27e-05
156,10,5.93e-05,5.89e-05
157,10,4.28e-05,4.26e-05
158,10,4.85e-05,4.82e-05
159,10,5.23e-05,5.21e-05
160,10,5.92e-05,5.9e-05
161,10,5.31e-05,5.18e-05
162,10,4.36e-05,4.34e-05
163,10,4.33e-05,4.31e-05
164,10,4.2e-05,4.18e-05
165,10,4.3e-05,4.29e-05
166,10,6.04e-05,5.96e-05
167,10,5.31e-05,5.27e-05
168,10,4.08e-05,4.05e-05
169,10,3.95e-05,3.93e-05
170,10,4.18e-05,4.16e-05
171,10,4.28e-05,4.26e-05
172,10,3.96e-05,3.94e-05
173,10,5.09e-05,5.07e-05
174,10,4.17e-05,4.15e-05
175,9,5.02e-05,5e-05
176,8,5e-05,4.98e-05
177,8,4.03e-05,4.01e-05
178,8,4.01e-05,3.99e-05
179,8,4.01e-05,4e-05
180,8,4.01e-05,3.98e-05
181,8,3.93e-05,3.91e-05
182,8,4.08e-05,4.07e-05
183,8,3.97e-05,3.94e-05
184,10,4.03e-05,4.01e-05
185,14,3.68e-05,3.66e-05
186,16,3.62e-05,3.6e-05
187,16,3.75e-05,3.73e-05
188,16,4.03e-05,4.01e-05
189,16,3.67e-05,3.65e-05
190,16,3.57e-05,3.56e-05
191,16,3.68e-05,3.66e-05
192,16,3.96e-05,3.94e-05
193,16,3.71e-05,3.69e-05
194,16,3.81e-05,3.79e-05
195,16,3.93e-05,3.91e-05
196,16,3.83e-05,3.81e-05
197,16,3.69e-05,3.68e-05
198,16,4.9e-05,4.88e-05
199,16,3.83e-05,3.81e-05
200,16,0.0002735,0.0002722
201,16,6.63e-05,6.48e-05
202,16,5.24e-05,5.2e-05
203,16,3.88e-05,3.85e-05
204,16,4.94e-05,4.92e-05
205,16,3.77e-05,3.75e-05
206,16,4.77e-05,4.75e-05
207,16,3.97e-05,3.95e-05
208,16,4.78e-05,4.76e-05
209,16,3.73e-05,3.7e-05
210,16,4.94e-05,4.92e-05
211,15,3.94e-05,3.92e-05
212,14,3.87e-05,3.86e-05
213,13,3.82e-05,3.79e-05
214,13,3.68e-05,3.66e-05
215,13,3.6e-05,3.59e-05
216,13,3.86e-05,3.84e-05
217,13,4.49e-05,4.47e-05
218,13,3.75e-05,3.73e-05
219,13,3.73e-05,3.71e-05
220,15,3.87e-05,3.85e-05
221,19,3.71e-05,3.69e-05
222,25,4.32e-05,4.3e-05
223,26,4.13e-05,4.11e-05
224,26,4.32e-05,4.31e-05
225,26,4.65e-05,4.62e-05
226,26,4.29e-05,4.27e-05
227,26,4.53e-05,4.5e-05
228,26,6.19e-05,6.15e-05
229,26,5.71e-05,5.68e-05
230,26,4.42e-05,4.4e-05
231,26,4.49e-05,4.46e-05
232,26,4.56e-05,4.54e-05
233,26,4.3e-05,4.29e-05
234,26,4.32e-05,4.3e-05
235,26,4.4e-05,4.38e-05
236,26,4.29e-05,4.27e-05
237,26,4.28e-05,4.26e-05
238,26,4.36e-05,4.34e-05
239,26,5.23e-05,5.22e-05
240,26,4.31e-05,4.28e-05
241,26,4.33e-05,4.31e-05
242,26,4.28e-05,4.26e-05
243,26,4.64e-05,4.63e-05
244,26,4.51e-05,4.48e-05
245,26,4.66e-05,4.65e-05
246,26,4.39e-05,4.36e-05
247,26,4.49e-05,4.48e-05
248,25,5.11e-05,5.09e-05
249,23,6.23e-05,6.21e-05
250,21,4.55e-05,4.53e-05
251,21,5.02e-05,5e-05
252,21,4.34e-05,4.32e-05
253,21,5.14e-05,5.12e-05
254,21,4.18e-05,4.15e-05
255,21,4.31e-05,4.29e-05
256,23,4.45e-05,4.43e-05
257,25,5.24e-05,5.21e-05
258,36,4.9e-05,4.88e-05
259,41,4.92e-05,4.85e-05
260,42,4.98e-05,4.96e-05
261,42,5.41e-05,5.39e-05
262,42,6.77e-05,6.73e-05
263,42,6.11e-05,6.08e-05
