iteration,liveAgents,frameTime,tickTime
1,500,0.0260204,0.0004998
2,500,0.0027686,0.0004357
3,500,0.0009896,0.000419
4,500,0.0011699,0.0004189
5,500,0.0010878,0.0004286
6,500,0.0009496,0.0003788
7,500,0.0023244,0.000377
8,500,0.0009738,0.0003733
9,500,0.0008352,0.0003682
10,500,0.0008126,0.0003604
11,500,0.0008648,0.0003775
12,500,0.0008446,0.0003708
13,500,0.0013496,0.00039
14,500,0.0021991,0.0003692
15,500,0.0008238,0.0003623
16,500,0.0007941,0.00036
17,500,0.0008445,0.0003657
18,500,0.0008377,0.0003684
19,500,0.0008393,0.0003592
20,500,0.0009335,0.000366
21,500,0.0008081,0.0003586
22,500,0.000775,0.0003538
23,500,0.0007665,0.0003542
24,500,0.0007635,0.0003536
25,500,0.000785,0.0003519
26,500,0.0008198,0.0003548
27,500,0.0024977,0.0003571
28,500,0.002277,0.0003676
29,500,0.0009272,0.0003714
30,500,0.0009025,0.0003802
31,500,0.0008428,0.0003674
32,500,0.0009344,0.0003757
33,500,0.0008547,0.0003693
34,500,0.000805,0.0003578
35,500,0.0007803,0.0003482
36,500,0.0007717,0.0003476
37,500,0.0007693,0.0003432
38,500,0.00079,0.0003446
39,500,0.0008175,0.0003482
40,500,0.0022826,0.0003469
41,500,0.0008944,0.000363
42,500,0.0007942,0.000353
43,500,0.0007687,0.0003467
44,500,0.0007659,0.0003421
45,500,0.0007947,0.0003414
46,500,0.0008235,0.0003483
47,500,0.0023878,0.0003498
48,500,0.0008633,0.0003599
49,500,0.0007752,0.0003427
50,500,0.0009026,0.0003916
51,500,0.0009379,0.0003447
52,500,0.0008602,0.0003555
53,500,0.0008756,0.0003752
54,500,0.0019607,0.0003394
55,500,0.0008289,0.0003404
56,500,0.0007647,0.0003333
57,500,0.0007351,0.0003333
58,500,0.0007771,0.0003296
59,500,0.0008504,0.0003572
60,500,0.0027594,0.0003528
61,500,0.0008482,0.0003452
62,500,0.0007592,0.0003377
63,500,0.0007385,0.0003293
64,500,0.000757,0.0003275
65,500,0.0008058,0.0003489
66,500,0.0024953,0.0003604
67,500,0.0008472,0.0003447
68,500,0.0007646,0.0003378
69,500,0.0007398,0.000334
70,500,0.0009662,0.0003319
71,500,0.0013769,0.0005543
72,500,0.0013343,0.0005276
73,500,0.0009333,0.0003635
74,500,0.0011234,0.0003339
75,500,0.000769,0.0003349
76,500,0.0007411,0.0003318
77,500,0.0007364,0.0003314
78,500,0.0008318,0.0003534
79,500,0.0008306,0.0003372
80,500,0.0024601,0.0003385
81,500,0.000846,0.0003435
82,500,0.0007737,0.0003391
83,500,0.00074,0.0003347
84,500,0.0007368,0.0003284
85,500,0.0009085,0.0003533
86,500,0.0027376,0.0003756
87,500,0.0008415,0.0003439
88,500,0.0007595,0.0003355
89,500,0.0007324,0.0003295
90,500,0.0007344,0.00033
91,500,0.0008187,0.0003505
92,500,0.0008764,0.0003411
93,500,0.0024353,0.0003362
94,500,0.0008326,0.0003402
95,500,0.0007619,0.0003338
96,500,0.0007384,0.0003306
97,500,0.0012103,0.0004265
98,500,0.0008861,0.0003422
99,500,0.0022634,0.000364
100,500,0.0008362,0.0003426
101,500,0.0007574,0.0003339
102,500,0.0007319,0.0003321
103,500,0.0007295,0.0003344
104,500,0.0008206,0.0003543
105,500,0.0008401,0.0003407
106,500,0.0024569,0.0003386
107,500,0.0008502,0.0003447
